molecule_chembl_id,class,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL469961,active,CC1(C)CC(c2nc3c(C(N)=O)cccc3[nH]2)C(C)(C)N1O,302.37800000000004,2.3975,3.0,4.0,6.142064735280571
CHEMBL470166,active,CC1(C)C(Br)=C(c2nc3c(C(N)=O)cccc3[nH]2)C(C)(C)N1O,379.25800000000004,3.0298000000000016,3.0,4.0,6.696803942579511
CHEMBL513759,active,CC1(C)C(c2cccc(C(F)(F)F)c2)=C(c2nc3c(C(N)=O)cccc3[nH]2)C(C)(C)N1O,444.4570000000001,4.853400000000003,3.0,4.0,6.826813731587726
CHEMBL459362,active,CC1(C)C=C(c2ccc(-c3nc4c(C(N)=O)cccc4[nH]3)cc2)C(C)(C)N1O,376.4600000000001,3.9742000000000015,3.0,4.0,7.107905397309519
CHEMBL518018,active,CC1(C)C=C(c2nc3c(C(N)=O)cccc3[nH]2)CC(C)(C)N1O,314.38900000000007,2.6973000000000003,3.0,4.0,7.585026652029182
CHEMBL459994,active,CC1(C)C=C(COc2ccc(-c3nc4c(C(N)=O)cccc4[nH]3)cc2)C(C)(C)N1O,406.4860000000001,3.8960000000000026,3.0,5.0,6.248720896016658
CHEMBL516617,active,COc1cc(-c2nc3c(C(N)=O)cccc3[nH]2)ccc1OCC1=CC(C)(C)N(O)C1(C)C,436.5120000000003,3.904600000000003,3.0,6.0,6.3260580013659125
CHEMBL452112,active,CN1C(C)(C)C=C(c2nc3c(C(N)=O)cccc3[nH]2)C1(C)C,298.39000000000004,2.5478000000000005,2.0,3.0,7.376750709602099
CHEMBL459796,active,CC(=O)N1C(C)(C)C=C(c2nc3c(C(N)=O)cccc3[nH]2)C1(C)C,326.40000000000003,2.4645,2.0,3.0,7.309803919971486
CHEMBL459797,active,CON1C(C)(C)C=C(c2nc3c(C(N)=O)cccc3[nH]2)C1(C)C,314.389,2.4794,2.0,4.0,7.214670164989233
CHEMBL511457,active,CC1(C)C=C(c2nc3c(C(N)=O)cccc3[nH]2)C(C)(C)N1,284.363,2.2056,3.0,3.0,6.462180904926726
CHEMBL498925,active,COC(=O)[C@@H]1[C@@H](c2nc3c(C(N)=O)cccc3[nH]2)C(C)(C)NC1(C)C,344.41500000000013,1.6949999999999994,3.0,5.0,6.665546248849069
CHEMBL470378,active,CC1(C)NC(C)(C)C(c2nc3c(C(N)=O)cccc3[nH]2)=C1Br,363.259,2.9282000000000004,3.0,3.0,6.863279432843593
CHEMBL511458,active,CC1(C)NC(C)(C)C(c2nc3c(C(N)=O)cccc3[nH]2)=C1c1ccccc1,360.46100000000007,3.7330000000000014,3.0,3.0,6.508638306165727
CHEMBL470583,active,CC1(C)NC(C)(C)C(c2nc3c(C(N)=O)cccc3[nH]2)=C1c1cccc(C(F)(F)F)c1,428.4580000000001,4.751800000000003,3.0,3.0,6.876148359032914
CHEMBL469752,active,CC1(C)C=C(c2ccc(-c3nc4c(C(N)=O)cccc4[nH]3)cc2)C(C)(C)N1,360.46100000000007,3.872600000000002,3.0,3.0,7.008773924307505
CHEMBL469960,active,CC1(C)C=C(c2nc3c(C(N)=O)cccc3[nH]2)CC(C)(C)N1,298.39000000000004,2.595700000000001,3.0,3.0,7.853871964321762
CHEMBL472264,active,CC1(C)C=C(COc2ccc(-c3nc4c(C(N)=O)cccc4[nH]3)cc2)C(C)(C)N1,390.4870000000001,3.794400000000002,3.0,4.0,6.242603971206976
CHEMBL472471,active,COc1cc(-c2nc3c(C(N)=O)cccc3[nH]2)ccc1OCC1=CC(C)(C)NC1(C)C,420.51300000000026,3.8030000000000026,3.0,5.0,6.364516253185088
CHEMBL472472,active,CC1(C)NC(C)(C)c2sc(-c3nc4c(C(N)=O)cccc4[nH]3)cc21,340.452,3.463700000000001,3.0,4.0,6.450996737974212
CHEMBL471640,active,CC1(C)NC(C)(C)c2cc(-c3nc4c(C(N)=O)cccc4[nH]3)ccc21,334.423,3.4022000000000006,3.0,3.0,6.346787486224656
CHEMBL471847,active,CC1(C)NC(C)(C)c2cc(-c3nc4c(C(N)=O)cccc4[nH]3)ncc21,335.411,2.797200000000001,3.0,4.0,6.327902142064283
CHEMBL469750,inactive,CC1(C)C=C(Cn2cnc3c(C(N)=O)cccc32)C(C)(C)N1O,314.38900000000007,2.3236,2.0,5.0,5.0
CHEMBL469751,inactive,CC(C)NC(=O)c1cccc2[nH]c(C3=CC(C)(C)N(O)C3(C)C)nc12,342.4430000000001,3.3465000000000016,3.0,4.0,5.0
CHEMBL513251,inactive,CC(C)NC(=O)c1cccc2[nH]c(C3=CC(C)(C)NC3(C)C)nc12,326.4440000000001,3.2449000000000012,3.0,3.0,5.0
CHEMBL446240,active,Nc1cccc2c(=O)[nH]ccc12,160.17600000000002,1.1103,2.0,2.0,6.619788758288394
CHEMBL3108871,active,O=c1[nH]c2sccc2c2ccccc12,201.25,2.742800000000001,1.0,2.0,6.346787486224656
CHEMBL45245,active,O=c1[nH]c2ccccc2c2ccccc12,195.22099999999998,2.681300000000001,1.0,1.0,6.522878745280337
CHEMBL401843,active,Cc1cccc2c(=O)[nH]c(CCCN3CC=C(c4ccc(F)cc4)CC3)nc12,377.4630000000001,4.092520000000003,1.0,3.0,7.795880017344075
CHEMBL108702,active,Nc1cccc(-c2ccc(C(=O)CNC(=O)CCn3c4c(c(=O)[nH]c3=O)CSCC4)cc2)c1,464.5470000000002,1.964299999999999,3.0,7.0,7.698970004336019
CHEMBL108968,active,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(OC(=O)c2ccccc2)cc1,493.5410000000002,1.9342999999999997,2.0,8.0,7.522878745280337
CHEMBL430707,active,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ccccn2)CC1,458.54400000000027,-0.42399999999999793,2.0,8.0,7.455931955649724
CHEMBL321638,active,COc1ccc(-c2ccc(C(=O)CNC(=O)CCn3c4c(c(=O)[nH]c3=O)CSCC4)cc2)cc1,479.5580000000002,2.3907,2.0,7.0,7.823908740944319
CHEMBL108316,active,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncncn2)CC1,460.52000000000027,-1.6339999999999966,2.0,10.0,7.301029995663981
CHEMBL322133,active,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(Br)cc1,452.3300000000001,1.4776,2.0,6.0,7.823908740944319
CHEMBL326660,active,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ccccc2)CC1,457.55600000000027,0.18100000000000183,2.0,7.0,7.522878745280337
CHEMBL449084,active,COc1ccc(C(=O)CNC(=O)CCn2c3c(c(=O)[nH]c2=O)CCCC3)cc1,385.4200000000002,0.8132000000000001,2.0,6.0,6.522878745280337
